name,proportion_male,count
a,0.68,19908
aad,0.95,863
aaditya,1,100
aakanksha,0.040000000000000036,49
aakeen,NA,NA
aakifah,0,6
aaliyah,0.010000000000000009,673
aamal,0.06999999999999995,15
aamina,0.06000000000000005,32
aamna,0.040000000000000036,46
aarathi,0,3
aaron,0.99,24633
aasiyah,0,10
aatikah,NA,NA
aayush,0.99,165
abanoub,0.98,54
abbas,0.97,6690
abbey,0.74,2110
abbi,0.4,349
abbie,0.08999999999999997,1126
abby,0.18999999999999995,3045
abdallah,0.97,5956
abdalrhaman,1,1
abdel,0.98,28580
abdelhak,0.98,3147
abdelkawy,1,1
abdelkhalick,NA,NA
abdelrahman,0.99,618
abderrahim,0.98,4361
abderrahmane,0.98,1614
abdul,0.98,21332
abdulah,0.98,540
abdulfatah,0.98,55
abdulhaseeb,1,1
abdullah,0.97,40449
abdullateef,0.96,82
abdulnaser,1,12
abdulrahman,0.98,2373
abdurrahman,0.97,5580
abdurrhman,1,12
abeer,0.07999999999999996,1623
abel,0.98,15409
aberdeen,0.9,79
abhijeet,0.99,533
abhinav,0.99,756
abhir,0.9,20
abhiraami,NA,NA
abhiram,1,36
abhishek,1,3838
abi,0.44999999999999996,3484
abigail,0.020000000000000018,5295
abil,0.88,156
abiola,0.74,1808
abir,0.07999999999999996,2444
abiy,0.96,103
aboobaker,1,6
abraham,0.98,10041
abubakr,0.99,202
abul,0.98,290
ac,0.69,849
achala,0.56,27
achila,0.78,9
achilleas,0.99,339
achillefs,1,3
achim,0.96,3171
ada,0.20999999999999996,21023
adair,0.89,89
adam,0.98,116396
adamos,1,143
adan,0.95,3144
adedoyin,0.66,327
adel,0.94,27098
adela,0.020000000000000018,7983
adelaide,0.020000000000000018,2451
adelaja,0.85,136
adele,0.030000000000000027,7656
adelina,0.020000000000000018,5058
adhiguna,1,5
adi,0.91,12434
adib,0.97,720
adikan,1,3
adiran,1,15
adiratna,NA,NA
adisa,0.24,690
aditi,0.030000000000000027,341
aditya,0.98,3231
adnan,0.97,22790
adria,0.75,1305
adriaan,0.98,998
adrian,0.99,90344
adriana,0.010000000000000009,49650
adrianchristian,NA,NA
adriane,0.09999999999999998,625
adriano,0.99,17278
adrien,0.98,23770
adrienn,0.010000000000000009,4222
adrienne,0.030000000000000027,1569
adrito,0.98,272
advaith,1,3
aeryn,0,18
affar,0.8,5
afzal,1,746
agamemnon,0.95,57
agapi,0.09999999999999998,426
agata,0.020000000000000018,38733
agate,0.13,141
agathe,0.040000000000000036,4567
agathoklis,1,14
agba,0.75,67
agelos,1,327
aggelos,0.99,2329
agklinta,NA,NA
agnes,0.020000000000000018,15854
agnese,0.010000000000000009,4245
agnieszka,0.020000000000000018,98095
agostina,0.010000000000000009,426
agusti,0.95,353
agustin,0.97,8919
ahana,0.06999999999999995,28
ahmad,0.97,46229
ahmed,0.98,139051
ahmet,0.97,160023
ahsan,0.99,1868
ahu,0.050000000000000044,1570
ai,0.20999999999999996,2366
aidan,0.91,1458
