subject_weight_id,grant_ref,subject_id,percentage
D666A364-FF4E-4CEA-83D6-C85CDF5496DD,EP/G026440/1,17F21DBC-4946-4262-AD07-9914F6EA12F7,50
4DB01636-14E2-4E0D-8EAE-4F8971C3DFD5,EP/G026440/1,E847DD9B-2053-4BC7-97A9-4213B185C968,50
0E58470D-3A0D-42EE-AAD3-86BD4EC2E8DE,EP/I006591/1,5E9AA4EC-49E3-4D6A-B545-79DA07CE39E0,100
ACE2E454-919D-43AA-9F88-5991B5BA1CEA,EP/F032145/1,5E9AA4EC-49E3-4D6A-B545-79DA07CE39E0,100
5CEE216E-4132-42E3-B504-D856E5B0F21E,EP/K012258/1,64596636-AE88-4F6E-A816-9C4C203E1197,100
AFA8A43B-F969-4440-9EA4-C6BA3E49E607,EP/H023909/1,64596636-AE88-4F6E-A816-9C4C203E1197,40
F13F0FF9-A847-4FCC-840B-AD92E5C91A86,EP/H023909/1,E847DD9B-2053-4BC7-97A9-4213B185C968,60
598878F7-41CC-4B16-B59A-9ECD57468347,EP/I004246/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,100
43299E65-463F-492F-82C4-705183935851,EP/H049746/1,772CD758-53CD-407F-9B2C-F2B861E86155,100
68E2C54B-7097-4E2E-94D1-CAFD865A1A7F,EP/K007777/1,F95121C7-7C31-40CE-BDBC-1E2BF025AEA6,100
7BF2575E-A4A0-4BC0-9B9D-56C87E87A5AF,EP/H045775/1,1A1A6805-9DC4-4BCE-BC70-9F2AA4FD093B,25
2A5E4B6A-ADB8-41FB-8E42-DE8E880D7717,EP/H045775/1,DEA11FBC-BEED-4EDD-890B-97D728462D26,50
6957A3BE-C5A6-4ABD-9333-CE3D4B17B983,EP/H045775/1,FB535BD0-E265-4C0A-8532-32DCB83A3951,25
908353F3-C255-4E31-9C91-A233418AFB83,EP/S018204/2,F95121C7-7C31-40CE-BDBC-1E2BF025AEA6,20
D1842F2B-C6F3-49D0-9BAD-4C3806652947,EP/S018204/2,FA25733D-A456-4A1B-9D5C-7119577368D9,40
05BAB550-C957-4340-871D-51861231B6A4,EP/S018204/2,D513F43E-F19D-4AB3-8E03-A47B085709AB,20
25493BFF-FD8C-4BBF-B5F5-246668653EDF,EP/S018204/2,C9A78518-54CF-4145-A680-F2BDCFB3913B,20
28398780-DFBB-4F44-A2A9-0E2281395339,EP/H006885/1,A442BF36-F335-483E-9282-F3BB48AC2C47,20
E5916DC4-E820-409E-BF96-0E15D824040E,EP/H006885/1,60EBB420-734E-4DB5-B0F2-65A1115A27F8,80
48CA3426-B76B-47D6-9E3C-58A31479B62F,EP/G020841/1,DEA11FBC-BEED-4EDD-890B-97D728462D26,100
72B3DD87-2519-4421-9F54-AB4F1A7FEACA,EP/R006393/1,E847DD9B-2053-4BC7-97A9-4213B185C968,80
B7509A53-BCFD-4613-B132-5AC0F811B443,EP/R006393/1,6723A70B-A523-40AB-9740-B6AD2A0677B7,20
1B07C398-5DD3-47F1-8B32-53C901A44720,EP/V046853/1,DEA11FBC-BEED-4EDD-890B-97D728462D26,100
C879BE64-61E6-4E1B-85D1-0B8E504FC5B7,EP/E016243/1,E847DD9B-2053-4BC7-97A9-4213B185C968,100
81A39797-0FB3-496F-AC4D-93ACDD77286B,EP/D077095/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,100
50771167-562F-42C6-AD57-533DC4F28BD3,EP/N03242X/1,DEA11FBC-BEED-4EDD-890B-97D728462D26,100
834FED76-5D7D-48C6-888C-9CB927EAAEB5,EP/T020997/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,10
EB94A640-80A6-4249-A90A-A924A1B59EF3,EP/T020997/1,6723A70B-A523-40AB-9740-B6AD2A0677B7,5
D53E4F03-D521-4BC1-B636-A8E3655FFA7E,EP/T020997/1,9CD2DA3B-F052-4076-95ED-10F46E76C382,35
CFC04201-61DC-48EC-8076-7D210099039F,EP/T020997/1,FB535BD0-E265-4C0A-8532-32DCB83A3951,50
D0A79ACF-3D26-43A3-A487-31EB70C6F8D1,EP/G013330/1,666CC8F4-4525-49AF-91C1-5675E0C8ADDF,100
ABF47394-A428-42A2-B3CB-A6B45E1585DB,EP/H022031/1,5E9AA4EC-49E3-4D6A-B545-79DA07CE39E0,100
74AD16D9-F5D2-4FCA-9880-9217E3188C70,EP/I005641/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,100
8261CA72-03B5-495E-BEC3-A644CFA5B07A,EP/N003209/1,DEA11FBC-BEED-4EDD-890B-97D728462D26,100
5EEE152A-0564-44AC-BA2D-6F3C94AA2601,EP/E001300/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,100
22F1356E-24E3-4443-B595-8314E051CFEC,EP/D052629/1,1A1A6805-9DC4-4BCE-BC70-9F2AA4FD093B,50
ACF0FA5E-EB6E-4299-B036-1D8F93A510A0,EP/D052629/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,50
00C2320C-251B-4AE9-9DFD-82934541D24C,EP/V027727/1,FA25733D-A456-4A1B-9D5C-7119577368D9,20
4B2A69A5-C5B3-4B01-A2F7-B9FBBAB4C9D5,EP/V027727/1,E847DD9B-2053-4BC7-97A9-4213B185C968,15
414D7D4E-DC14-4AFA-B928-6007011EC824,EP/V027727/1,99E0B904-CAB5-4511-AFB3-AA6D2B171F97,35
ECAAADFA-80FA-4C97-95E3-84F3C234DC46,EP/E019900/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,34
C0509A16-6D29-42AE-B83E-D9FD4B806E50,EP/E019900/1,5E9AA4EC-49E3-4D6A-B545-79DA07CE39E0,33
1AA27BF0-055A-4C0F-A66A-F0B85C1B5BB8,EP/E019900/1,6723A70B-A523-40AB-9740-B6AD2A0677B7,33
ED457916-EE69-44CE-A7CA-2314784452ED,EP/D061601/1,99E0B904-CAB5-4511-AFB3-AA6D2B171F97,100
54835DEC-32B2-49F1-8C0C-0488FADCCB33,EP/F045093/1,772CD758-53CD-407F-9B2C-F2B861E86155,100
6AE0564D-6D1A-4B1D-9ECA-E1AE78E4A05D,EP/S031537/1,DEA11FBC-BEED-4EDD-890B-97D728462D26,100
4029AB2B-2A8C-4DB4-A917-32D239AEEF5F,EP/D051894/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,100
4E1AEB72-EC9F-4C92-BC2E-1BD4236EADF1,EP/J001163/1,60EBB420-734E-4DB5-B0F2-65A1115A27F8,100
72C3C18E-B8EE-4870-8135-5202707F3ADE,EP/V04818X/1,9CD2DA3B-F052-4076-95ED-10F46E76C382,100
E9710FAA-F25F-4931-9C6E-499406C4EC42,EP/H035362/1,64596636-AE88-4F6E-A816-9C4C203E1197,100
B40953AE-9112-416A-8D6B-2F30C4AF898C,EP/G004625/1,E847DD9B-2053-4BC7-97A9-4213B185C968,100
B10CA041-E7D3-453A-A19E-7E72565E22A8,EP/T018178/1,DEA11FBC-BEED-4EDD-890B-97D728462D26,100
7C034371-0C5F-4119-888B-61EAA9940DB2,EP/J015202/1,F442B6BE-8B89-4C01-8D3B-E8A4D320B672,25
BC4AF7E5-084C-453B-AEC2-57D8F0482557,EP/J015202/1,64596636-AE88-4F6E-A816-9C4C203E1197,25
B273A36B-C042-4099-84E9-B07BB36D5C96,EP/J015202/1,E847DD9B-2053-4BC7-97A9-4213B185C968,25
F0928F26-CDB3-471C-B758-10237F8977EF,EP/J015202/1,9CD2DA3B-F052-4076-95ED-10F46E76C382,25
8EEEB8B7-B3BE-4B4F-967B-2386401DC32E,EP/G056404/1,97FC8337-8E84-46A6-ACF2-A6047DA8C582,100
4EB0E101-1C2B-4782-8BEE-AD1936C50B5C,EP/M002837/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,34
6614055A-B654-4C23-A272-5C1BEC6D1165,EP/M002837/1,53F27348-198B-4AEF-A34B-8307067F507C,66
9B3EF6B5-358B-484C-A8B7-EAD6DBFE2C41,EP/D061709/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,100
E34ADE33-03F2-4952-84F1-28CA5B4FE78B,EP/R006911/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,100
AD61D928-D30C-444A-A9D5-8D078CA569B9,EP/N028228/1,608431EA-925E-44D8-A1E2-8C24B4768085,10
32B4E336-3B30-4E31-A176-7B49E74999B5,EP/N028228/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,70
C64B3279-7CE1-47D3-A352-2882B8D9F3EB,EP/N028228/1,5858EC49-4786-4440-8352-1AB0B6DC5F23,20
5A2AD8F0-87FE-475B-8BDD-4DF1BB0F9813,EP/K031686/1,FA25733D-A456-4A1B-9D5C-7119577368D9,50
