subject_id,subject
17F21DBC-4946-4262-AD07-9914F6EA12F7,Bioengineering
E847DD9B-2053-4BC7-97A9-4213B185C968,Materials sciences
5E9AA4EC-49E3-4D6A-B545-79DA07CE39E0,Management & Business Studies
64596636-AE88-4F6E-A816-9C4C203E1197,Catalysis & surfaces
EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,Info. & commun. Technol.
772CD758-53CD-407F-9B2C-F2B861E86155,Mechanical Engineering
F95121C7-7C31-40CE-BDBC-1E2BF025AEA6,Energy
1A1A6805-9DC4-4BCE-BC70-9F2AA4FD093B,"Ecol, biodivers. & systematics"
DEA11FBC-BEED-4EDD-890B-97D728462D26,Mathematical sciences
FB535BD0-E265-4C0A-8532-32DCB83A3951,"Tools, technologies & methods"
FA25733D-A456-4A1B-9D5C-7119577368D9,Manufacturing
D513F43E-F19D-4AB3-8E03-A47B085709AB,Materials Processing
C9A78518-54CF-4145-A680-F2BDCFB3913B,"Pollution, waste & resources"
A442BF36-F335-483E-9282-F3BB48AC2C47,Cell biology
60EBB420-734E-4DB5-B0F2-65A1115A27F8,Chemical synthesis
6723A70B-A523-40AB-9740-B6AD2A0677B7,Medical & health interface
9CD2DA3B-F052-4076-95ED-10F46E76C382,"Optics, photonics & lasers"
666CC8F4-4525-49AF-91C1-5675E0C8ADDF,Chem. React. Dyn. & mechanisms
99E0B904-CAB5-4511-AFB3-AA6D2B171F97,Process engineering
F442B6BE-8B89-4C01-8D3B-E8A4D320B672,Biomolecules & biochemistry
97FC8337-8E84-46A6-ACF2-A6047DA8C582,Environmental Engineering
53F27348-198B-4AEF-A34B-8307067F507C,Systems engineering
608431EA-925E-44D8-A1E2-8C24B4768085,Design
5858EC49-4786-4440-8352-1AB0B6DC5F23,Psychology
C087E953-30F3-4968-B0F3-D48A5998A2B4,Civil eng. & built environment
C88380A2-9C65-425D-B4FB-4E289FACB800,Atomic & molecular physics
9C124926-5968-486F-9B51-CCEB6C4E9650,Particle physics - theory
7D5D2DB2-0A64-42AF-A644-5F541B832A29,Economics
863FC58A-7217-42EA-B076-663F2D770BB8,Chemical measurement
895D1683-DC4B-4292-BBC6-EC38672BFD10,RCUK Programmes
97B14C81-E082-430E-BC8F-733274083163,"Supercond, magn. &quant.fluids"
AEB7EC61-1574-4583-8B00-BD32275F29A6,Complexity Science
6BF947B0-8E6E-48DB-AB68-7130938F2DF2,Instrument. sensor & detectors
4A856E02-8C94-4981-B572-E381EEB60DD2,Media
5CBA14F4-F235-45B6-A9DD-5937D5C166CC,Electrical Engineering
EBACD6D4-D1E5-4970-8BEC-7F4568EB26BA,Development studies
6E910789-6B8D-4B73-B5B0-F3156942B558,Geosciences
3A4CB57C-9B22-41A2-AB15-127503299365,Human Geography
972C8509-5001-4523-9E10-7FA67E2F2E69,Visual arts
F0322ED6-113F-4530-BA5E-562216587E68,Sociology
4511FB20-8392-418E-809D-7701FACC03C9,Law & legal studies
64564C94-AC7F-4056-903D-0AED107A359E,Education
8C42F55F-1A1F-4ACE-B264-F6697518680A,Plasma physics
5B25B6A3-B218-4F11-8A9D-661236DF455C,Agri-environmental science
B94A2498-60DA-4055-A957-686B6CB42654,Linguistics
5D762B83-597E-4E91-B2F7-04CBB955175C,Pol. sci. & internat. studies
455F5D87-6317-4EF0-9D74-72B5D9BD6375,Food science & nutrition
2607D197-52EE-40CA-A1D5-A46D18C3F97F,Microbial sciences
12F57045-398B-4CC0-BF63-76C038A2E247,Cultural & museum studies
E844174D-6A1C-4D2D-8F24-57698F7DA353,Environmental planning
12179D88-04B3-47E9-89E1-B5EE8F895227,Social Policy
9BDF80E2-029E-4505-B7EE-DB0FA633E483,Omic sciences & technologies
062860E1-C81F-4028-9095-19A5E6455C70,Languages & Literature
825466D8-66F3-4ABB-A62C-357225C4B154,Terrest. & freshwater environ.
0AEFDABE-67A4-48B1-9DB4-99393BDE6065,Music
EE4457DB-92A3-44EA-8D5F-77013CC107E0,Climate & Climate Change
E4C03353-6311-43F9-9204-CFC2536D2017,Atmospheric phys. & chemistry
48D25546-6ADF-479A-8877-478CCDB1DC1F,Animal Science
6FFDB010-9050-4605-B449-A6952906EB9D,Nuclear Physics
615BB43C-305A-47B9-B728-7A9BB0BBE1A4,Astronomy - observation
B43E1E82-2962-4C36-87AD-95AC01BE0A9F,Astronomy - theory
946C0541-464B-43A5-9EE3-65C23360E959,Philosophy
B57EEFB7-602E-4F5D-92E4-A0C265266249,Demography & human geography
808111E3-5E04-4CEF-B080-565A81EFD6D0,Demography
6AECCE8F-D1A3-43C8-B6DC-7B2289BE3CBF,Archaeology
541CDC75-F361-4961-9EFE-34B2C8ACE947,History
020361E1-B8CA-49FD-9149-27D31D21C7A3,Social Anthropology
ACFABADE-E54A-4FC7-B9F5-259A19D97CDB,Social Work
E05CFC1B-8264-49AB-8A54-E3A86F404707,Marine environments
DB058E35-DBAD-4B21-B030-5C3C78825B11,Area Studies
FE33AE51-7085-4BCA-8B2F-66C86B855F25,"Theology, divinity & religion"
C23BE70F-1EF6-4CC7-88B0-841CB18DD875,Genetics & development
09D33363-1F2C-4CCD-A4B9-4CAA0DD34A4C,Facility Development
13975896-2E87-4DAA-99BC-E8D86B00B146,Plant & crop science
