grant_ref,topic_id,percentage
EP/G026440/1,BD108981-2A72-4C45-AAC2-425461EB90BE,50
EP/G026440/1,561091A1-9FC9-4508-B1B2-2F3623E1FC9D,25
EP/G026440/1,063026C5-CD0B-48AB-82F3-6359499A95D4,25
EP/I006591/1,6A482B09-D749-4443-8AF0-654984FCE91D,100
EP/F032145/1,6A482B09-D749-4443-8AF0-654984FCE91D,100
EP/K012258/1,35E9CECD-F211-4914-9F91-4B8FB76B773D,100
EP/S513817/1,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/H023909/1,561091A1-9FC9-4508-B1B2-2F3623E1FC9D,30
EP/H023909/1,063026C5-CD0B-48AB-82F3-6359499A95D4,30
EP/H023909/1,0C89BB7D-DCEF-4DCF-84DB-CA53C907AB0E,40
EP/I004246/1,76783275-A9F8-4B4E-B314-51363124259C,80
EP/I004246/1,0A982A4A-12CF-4734-AFCA-A5DC61F667F3,20
EP/H049746/1,ED6338AE-3457-45D6-90CA-B994C3CF422B,100
EP/P504546/1,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/N509346/1,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/K007777/1,FFAA021A-6F31-43D9-8517-EA79D1E71F54,50
EP/K007777/1,0FE8D416-B45D-49A3-928D-3B94E03E72DD,50
1942717,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
1808415,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/H045775/1,27F853CB-FB22-4B9D-82D7-542648D097F0,25
EP/H045775/1,DE30777A-E4A8-486B-875D-58CC92FD5525,25
EP/H045775/1,62309876-5C71-411C-B1A7-1B2907AFB5A8,25
EP/H045775/1,4A6E5CEB-ACA3-4301-98AD-C7EC310948FD,25
EP/S018204/2,97AD4D1C-4499-4C7E-AF8A-FE9EFE56E306,20
EP/S018204/2,ABBD3B7F-5022-4513-82D6-5414B965FAB3,40
EP/S018204/2,D513F43E-F19D-4AB3-8E03-A47B085709AB,20
EP/S018204/2,A600D1CC-E752-4522-95BC-916168B6C71B,20
2103804,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/H006885/1,0B9701E7-D17F-4963-82DA-B3926A65B50A,80
EP/H006885/1,D16FDB98-8CBA-4298-8ACD-955DF734E7F5,20
2299512,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/G020841/1,9A30FDC6-AEB7-447C-A30E-0EF6BDB406FB,100
EP/R006393/1,561091A1-9FC9-4508-B1B2-2F3623E1FC9D,40
EP/R006393/1,063026C5-CD0B-48AB-82F3-6359499A95D4,40
EP/R006393/1,16595C3C-600D-4AD2-B394-16E06F96495F,20
EP/V046853/1,27F853CB-FB22-4B9D-82D7-542648D097F0,100
2413334,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
2434540,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/E016243/1,561091A1-9FC9-4508-B1B2-2F3623E1FC9D,100
EP/R511821/1,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/D077095/1,E05CFE0B-163D-412D-A3C2-28E89B2CA336,100
1788239,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/N03242X/1,04D8FF87-2CFC-44E7-A7DF-47E10C813E05,100
EP/T020997/1,12FC01EE-4952-4AE4-883A-D3E83A89C5C6,10
EP/T020997/1,16595C3C-600D-4AD2-B394-16E06F96495F,5
EP/T020997/1,A759BB04-AFFE-4780-BD31-9A2707BC44BA,50
EP/T020997/1,66CE6BAB-875D-4F4D-B415-F93CA7A2C4CA,35
EP/P502535/1,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/G013330/1,652DA0EC-552B-46D5-B5B9-B456AC07AA19,25
EP/G013330/1,008D950C-182A-427B-A7CB-4FD430D040B5,75
2430957,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/H022031/1,3A99B6E4-F520-4600-BCB0-5F054BBCFB6B,100
EP/I005641/1,2770EFE0-D127-47F1-9FC0-AABDCE301DD3,100
EP/N003209/1,27F853CB-FB22-4B9D-82D7-542648D097F0,25
EP/N003209/1,04D8FF87-2CFC-44E7-A7DF-47E10C813E05,75
2116510,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/K03832X/2,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/E001300/1,699D8438-2A43-4BCF-B1A4-6240ED82CEEE,50
EP/E001300/1,0A982A4A-12CF-4734-AFCA-A5DC61F667F3,50
EP/D052629/1,A704B681-6133-41A6-8D93-905FFEC6353B,25
EP/D052629/1,0A982A4A-12CF-4734-AFCA-A5DC61F667F3,25
EP/D052629/1,DE30777A-E4A8-486B-875D-58CC92FD5525,50
2535846,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
2238489,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/V027727/1,DA992CBF-8F56-4B55-AF51-A6876E825318,20
EP/V027727/1,063026C5-CD0B-48AB-82F3-6359499A95D4,15
EP/V027727/1,04DC091E-A791-4572-A9B7-E327BB0A3EB8,35
1801766,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/E019900/1,0A982A4A-12CF-4734-AFCA-A5DC61F667F3,34
EP/E019900/1,5E9AA4EC-49E3-4D6A-B545-79DA07CE39E0,33
EP/E019900/1,16595C3C-600D-4AD2-B394-16E06F96495F,33
EP/D061601/1,AFDAF68C-6055-4D87-A6AE-9D10FE305020,100
1969634,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
1800613,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
EP/F045093/1,ED6338AE-3457-45D6-90CA-B994C3CF422B,100
1928874,D05BC2E0-0345-4A3F-8C3F-775BC42A0819,NA
