topic_id,topic
BD108981-2A72-4C45-AAC2-425461EB90BE,Biomaterials
561091A1-9FC9-4508-B1B2-2F3623E1FC9D,Materials Characterisation
063026C5-CD0B-48AB-82F3-6359499A95D4,Materials Synthesis & Growth
6A482B09-D749-4443-8AF0-654984FCE91D,Manufact. Business Strategy
35E9CECD-F211-4914-9F91-4B8FB76B773D,Catalysis & Applied Catalysis
D05BC2E0-0345-4A3F-8C3F-775BC42A0819,Unclassified
0C89BB7D-DCEF-4DCF-84DB-CA53C907AB0E,Surfaces & Interfaces
76783275-A9F8-4B4E-B314-51363124259C,Fundamentals of Computing
0A982A4A-12CF-4734-AFCA-A5DC61F667F3,Information & Knowledge Mgmt
ED6338AE-3457-45D6-90CA-B994C3CF422B,Aerodynamics
FFAA021A-6F31-43D9-8517-EA79D1E71F54,Energy - Conventional
0FE8D416-B45D-49A3-928D-3B94E03E72DD,Energy - Nuclear
27F853CB-FB22-4B9D-82D7-542648D097F0,Algebra & Geometry
DE30777A-E4A8-486B-875D-58CC92FD5525,Population Ecology
62309876-5C71-411C-B1A7-1B2907AFB5A8,Statistics & Appl. Probability
4A6E5CEB-ACA3-4301-98AD-C7EC310948FD,Theoretical biology
97AD4D1C-4499-4C7E-AF8A-FE9EFE56E306,Energy Storage
ABBD3B7F-5022-4513-82D6-5414B965FAB3,Manufacturing Machine & Plant
D513F43E-F19D-4AB3-8E03-A47B085709AB,Materials Processing
A600D1CC-E752-4522-95BC-916168B6C71B,Waste Minimisation
0B9701E7-D17F-4963-82DA-B3926A65B50A,Biological & Medicinal Chem.
D16FDB98-8CBA-4298-8ACD-955DF734E7F5,Cells
9A30FDC6-AEB7-447C-A30E-0EF6BDB406FB,Logic & Combinatorics
16595C3C-600D-4AD2-B394-16E06F96495F,Med.Instrument.Device& Equip.
E05CFE0B-163D-412D-A3C2-28E89B2CA336,Software Engineering
04D8FF87-2CFC-44E7-A7DF-47E10C813E05,Mathematical Analysis
12FC01EE-4952-4AE4-883A-D3E83A89C5C6,Digital Signal Processing
A759BB04-AFFE-4780-BD31-9A2707BC44BA,Medical Imaging
66CE6BAB-875D-4F4D-B415-F93CA7A2C4CA,Optical Devices & Subsystems
652DA0EC-552B-46D5-B5B9-B456AC07AA19,Gas & Solution Phase Reactions
008D950C-182A-427B-A7CB-4FD430D040B5,Physical Organic Chemistry
3A99B6E4-F520-4600-BCB0-5F054BBCFB6B,Building Ops & Management
2770EFE0-D127-47F1-9FC0-AABDCE301DD3,VLSI Design
699D8438-2A43-4BCF-B1A4-6240ED82CEEE,Human Communication in ICT
