panel_id,panel_name,panel_date,panel_contact,panel_type
4231,Materials Modelling 3 Sift Panel,12 January 2006,Mr Andy Rendell,PriorPanel
4196,PDF Physics Sift Panel ,19 January 2006,Ms Jan Tucker,PriorPanel
4241,PDF Math Sci - Sift Panel (Science),13 February 2006,Dr Caroline Batchelor,PriorPanel
4247,PDRF - Theoretical Computer Science,17 February 2006,Mrs Gill Stephens,PriorPanel
4255,People and Interactivity,01 March 2006,Dr Jane Khawaja,PriorPanel
4202,Mathematics Prioritisation Panel (Science),08 March 2006,Dr Steve Milsom,PriorPanel
4224,Engineering Fellowships Sift Panel,09 March 2006,Mrs Sheila Baird,PriorPanel
4245,Chemistry Prioritisation Panel (Science),15 March 2006,Dr Richard Aisbitt,PriorPanel
4259,Chemistry Fellowships Sifting Panel 2006,16 March 2006,Mrs Jennie Harman,PriorPanel
4268,RAE/EPSRC Research Fellowships,20 March 2006,Dr Pamela Salyer,PriorPanel
4233,ICT Fellowships 2006 - Sift Panel,21 March 2006,Mrs Gill Stephens,PriorPanel
4248,LSI Postdoctoral Fellowships Selection Panel,22 March 2006,Mr Paul Tomsen,PriorPanel
4243,Mathematics 2006 Fellowships Panel,23 March 2006,Mrs Valerie Hibberd,PriorPanel
4260,Challenging Engineering Sift Panel Meeting(ENG),27 March 2006,Dr Mark Hylton,PriorPanel
4242,Physics Fellowship Sifting Panel 2006,29 March 2006,Ms Jan Tucker,PriorPanel
4246,Engineering Science (Components),30 March 2006,Mrs Chris Elson,PriorPanel
4232,Materials Fellowships 2006 - Sift Panel,31 March 2006,Mrs Gill Stephens,PriorPanel
4275,Engineering Systems,04 April 2006,Dr Prabhat Sakya,PriorPanel
4249,Engineering Science (Flow) Panel,05 April 2006,Dr Robin Hayden,PriorPanel
4292,Engineering Fellowships Interview Panel 2006,11 April 2006,Mrs Sheila Baird,PriorPanel
4289,Chemistry Fellowships Interview Panel,11 April 2006,Mrs Jennie Harman,PriorPanel
4311,Materials Fellowships 2006 - Interview Panel,20 April 2006,Mrs Gill Stephens,PriorPanel
4297,Mathematics Fellowships Interview Panel,24 April 2006,Mrs Valerie Hibberd,PriorPanel
4309,Physics Fellowships Interview Panel,25 April 2006,Ms Jan Tucker,PriorPanel
4299,ICT Fellowships 2006 - Interview Panel,25 April 2006,Mrs Gill Stephens,PriorPanel
4274,Electronics & Functional Materials Panel (Tech),04 May 2006,Mr Douglas Niven,PriorPanel
4258,Chemistry Prioritisation Panel (Science),09 May 2006,Mrs Jackie Bowles,PriorPanel
4279,Structural Materials Prioritisation Panel,11 May 2006,Dr Jane Khawaja,PriorPanel
4298,Joint Photonics Prioritisation Panel,18 May 2006,Dr Tracy Hanlon,PriorPanel
4312,Fellowships Central Allocation Panel,24 May 2006,Dr Joanne Ross,PriorPanel
4301,Physical Organic Chemistry Sift Panel (Science),02 June 2006,Ms Zoe Brown,PriorPanel
4277,Mathematics Prioritisation Panel (Science),08 June 2006,Dr Richard Aisbitt,PriorPanel
4305,People and Interactivity Panel,12 June 2006,Mrs Mary Hassan,PriorPanel
4273,Engineering Science (Flow) Panel,20 June 2006,Dr Prabhat Sakya,PriorPanel
4317,Chemistry Prioritisation Panel (Science),04 July 2006,Dr Dai Jenkins,PriorPanel
4326,Bridging the Gap - Sift Panel,04 July 2006,Ms Jan Tucker,PriorPanel
4217,Physics Prioritisation Panel (Science),26 July 2006,Dr Steve Milsom,PriorPanel
4328,Electronics and Functional Materials,09 August 2006,Mr Douglas Niven,PriorPanel
4330,Structural Materials Prioritisation Panel (Aug 06),15 August 2006,Dr Jane Khawaja,PriorPanel
4338,Joint Photonics Prioritisation Panel (Technology),16 August 2006,Dr Tracy Hanlon,PriorPanel
4360,Flewitt Visiting Panel,29 August 2006,Dr Nathan Davies,PriorPanel
4340,Chemistry Prioritisation Panel (Science),30 August 2006,Dr Richard Aisbitt,PriorPanel
4308,Mathematics Prioritisation Panel (Science),08 September 2006,Mrs Jackie Bowles,PriorPanel
4286,Engineering Science (Components),12 September 2006,Dr Robin Hayden,PriorPanel
4293,Engineering Science (Flow) Panel,14 September 2006,Dr Pilar Sepulveda,PriorPanel
4372,Humphrey's Visiting Panel,14 September 2006,Dr Lindsey-Jane Weston,PriorPanel
4374,KT SUE Sift panel (Virtual) (ENG),03 October 2006,Dr Claire Tansley,Panel
4354,Chemistry Prioritisation Panel (Science),17 October 2006,Dr Steve Milsom,Panel
4376,KT SUE Interview Panel (ENG),18 October 2006,Dr Claire Tansley,Panel
4362,ICT Prioritisation Panel (Technology),19 October 2006,Dr Jane Khawaja,Panel
4218,Physics Prioritisation Panel (Science),24 October 2006,Mrs Michaela Simpson,Panel
4363,Materials Prioritisation Panel (Technology) Oct 06,26 October 2006,Dr Tracy Hanlon,Panel
4371,Engineering Science (Flow) Panel,23 November 2006,Dr Pamela Salyer,Panel
4359,Chemistry Prioritisation Panel (Science),04 December 2006,Dr Dai Jenkins,Panel
4418,Analytical Science Studentship Panel - Sift ,12 December 2006,Ms Jan Tucker,Panel
