scheme,announced,unfunded,referred_to_a_later_panel,decision_still_awaited,funding_rate_percent_of_grant_number,panel_id,panel_type,invited_for_interview,not_invited_for_interview,final_decision_yet_to_be_made,not_funded
Standard Research,0,0,23,0,0,4231,PriorPanel,NA,NA,NA,NA
Summary:,0,0,23,0,0,4231,PriorPanel,NA,NA,NA,NA
Postdoctoral Research Fellowship,0,0,8,0,0,4196,PriorPanel,NA,NA,NA,NA
Summary:,0,0,8,0,0,4196,PriorPanel,NA,NA,NA,NA
Postdoctoral Research Fellowship,0,0,15,0,0,4241,PriorPanel,NA,NA,NA,NA
Summary:,0,0,15,0,0,4241,PriorPanel,NA,NA,NA,NA
Postdoctoral Research Fellowship,0,0,10,0,0,4247,PriorPanel,NA,NA,NA,NA
Summary:,0,0,10,0,0,4247,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,2,0,0,4255,PriorPanel,NA,NA,NA,NA
Summary:,0,0,2,0,0,4255,PriorPanel,NA,NA,NA,NA
First Grant Scheme,0,0,1,0,0,4202,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,1,0,0,4202,PriorPanel,NA,NA,NA,NA
Summary:,0,0,2,0,0,4202,PriorPanel,NA,NA,NA,NA
Senior Fellowship,0,0,3,0,0,4224,PriorPanel,NA,NA,NA,NA
Advanced Fellowship,0,0,16,0,0,4224,PriorPanel,NA,NA,NA,NA
Summary:,0,0,19,0,0,4224,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,1,0,0,4245,PriorPanel,NA,NA,NA,NA
Summary:,0,0,1,0,0,4245,PriorPanel,NA,NA,NA,NA
Senior Fellowship,0,0,3,0,0,4259,PriorPanel,NA,NA,NA,NA
Advanced Fellowship,0,0,13,0,0,4259,PriorPanel,NA,NA,NA,NA
Summary:,0,0,16,0,0,4259,PriorPanel,NA,NA,NA,NA
RAEng/EPSRC Research Fellowships,0,0,20,0,0,4268,PriorPanel,NA,NA,NA,NA
Summary:,0,0,20,0,0,4268,PriorPanel,NA,NA,NA,NA
Senior Fellowship,0,0,3,0,0,4233,PriorPanel,NA,NA,NA,NA
Advanced Fellowship,0,0,15,0,0,4233,PriorPanel,NA,NA,NA,NA
Summary:,0,0,18,0,0,4233,PriorPanel,NA,NA,NA,NA
Postdoctoral Research Fellowship,0,0,20,0,0,4248,PriorPanel,NA,NA,NA,NA
Summary:,0,0,20,0,0,4248,PriorPanel,NA,NA,NA,NA
Senior Fellowship,0,0,3,0,0,4243,PriorPanel,NA,NA,NA,NA
Advanced Fellowship,0,0,11,0,0,4243,PriorPanel,NA,NA,NA,NA
