panel_id,grant_reference,principal_investigator,holding_organisation,grant_title,value,panel_type,grant_status,table_type
4573,EP/F043767/1,Dr J Brotherston,Imperial College London,NA,253391,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4573,EP/F043333/1,Dr M Englert,University of Warwick,NA,204382,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4573,EP/F042337/1,Dr B Klin,University of Cambridge,NA,216634,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4573,EP/F044046/1,Dr E Komendantskaya,University of St Andrews,NA,241846,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4573,EP/F042698/1,Dr CE Mora,University of Bristol,NA,200709,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4573,EP/F042728/1,Dr M Sadrzadeh,University of Oxford,NA,224958,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4637,EP/F043481/1,Ms J Becker-Baldus,University of Warwick,NA,260257,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4637,EP/F042647/1,Mr EJ Botcherby,University of Oxford,NA,245293,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4637,EP/F042531/1,Dr N Crampton,University of Leeds,NA,305173,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4637,EP/F044011/1,Dr A Esposito,University of Cambridge,NA,342082,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4637,EP/F042248/1,Dr C Flors,University of Edinburgh,NA,264278,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4637,EP/F043325/1,Dr AM Klein,University of Cambridge,NA,207311,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4637,EP/F043929/1,Dr SA Niederer,University of Oxford,NA,252717,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4637,EP/F042868/1,Dr TA Quinn,University of Oxford,NA,290974,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4637,EP/F043112/1,Dr J Rosindell,University of Leeds,NA,212731,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4637,EP/F042590/1,Dr L Wong,The University of Manchester,NA,369452,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4639,EP/F041748/1,Dr HM Bui,University of Oxford,NA,220161,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4639,EP/F04223X/1,Mr W Dison,University of Bristol,NA,194707,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4639,EP/F043236/1,Dr GO Jones,The University of Manchester,NA,214910,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4639,EP/F04304X/1,Dr D Loeffler,University of Cambridge,NA,219034,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4639,EP/F043570/1,Dr JP Pridham,University of Cambridge,NA,197159,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4639,EP/F043791/1,Dr R Ricci,Imperial College London,NA,238432,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4639,EP/F043074/1,Dr EP Segal,Imperial College London,NA,217190,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4639,EP/F043635/1,Mr J Sonner,Imperial College London,NA,236737,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4639,EP/F043007/1,Dr S Zerbes,University of Exeter,NA,239542,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4640,EP/F043686/1,Dr FGS Brandao,Imperial College London,NA,239607,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4640,EP/F043678/1,Dr DK Burgarth,Imperial College London,NA,246991,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4640,EP/F041810/1,Miss L Heaney,University of Oxford,NA,230933,PanelFellowship,FUNDED,FELLOWSHOP PANEL RESULTS
4394,EP/E041833/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4397,EP/E042465/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4400,EP/E038379/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4404,EP/E041159/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4431,EP/E502520/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4398,EP/E048420/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4427,EP/E051278/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4415,EP/E048951/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4428,EP/E049230/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4433,EP/E051227/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4434,EP/E050018/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4475,EP/E05207X/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4477,EP/E050980/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4480,EP/E05224X/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4472,EP/E503101/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4473,EP/E503837/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4478,EP/E051448/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4485,EP/E051804/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4489,EP/E051847/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4474,EP/E502520/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4486,EP/E048420/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4572,EP/F041330/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4594,EP/F041950/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
4600,EP/F040024/1,NA,NA,NA,NA,PanelFellowship,DEFERRED,FELLOWSHOP PANEL RESULTS
