panel_id,panel_type,panel_name,panel_date,panel_contact
4231,PriorPanel,Materials Modelling 3 Sift Panel,2006-01-12,Mr Andy Rendell
4196,PriorPanel,PDF Physics Sift Panel ,2006-01-19,Ms Jan Tucker
4241,PriorPanel,PDF Math Sci - Sift Panel (Science),2006-02-13,Dr Caroline Batchelor
4247,PriorPanel,PDRF - Theoretical Computer Science,2006-02-17,Mrs Gill Stephens
4255,PriorPanel,People and Interactivity,2006-03-01,Dr Jane Khawaja
4202,PriorPanel,Mathematics Prioritisation Panel (Science),2006-03-08,Dr Steve Milsom
4224,PriorPanel,Engineering Fellowships Sift Panel,2006-03-09,Mrs Sheila Baird
4245,PriorPanel,Chemistry Prioritisation Panel (Science),2006-03-15,Dr Richard Aisbitt
4259,PriorPanel,Chemistry Fellowships Sifting Panel 2006,2006-03-16,Mrs Jennie Harman
4268,PriorPanel,RAE/EPSRC Research Fellowships,2006-03-20,Dr Pamela Salyer
4233,PriorPanel,ICT Fellowships 2006 - Sift Panel,2006-03-21,Mrs Gill Stephens
4248,PriorPanel,LSI Postdoctoral Fellowships Selection Panel,2006-03-22,Mr Paul Tomsen
4243,PriorPanel,Mathematics 2006 Fellowships Panel,2006-03-23,Mrs Valerie Hibberd
4260,PriorPanel,Challenging Engineering Sift Panel Meeting(ENG),2006-03-27,Dr Mark Hylton
4242,PriorPanel,Physics Fellowship Sifting Panel 2006,2006-03-29,Ms Jan Tucker
4246,PriorPanel,Engineering Science (Components),2006-03-30,Mrs Chris Elson
4232,PriorPanel,Materials Fellowships 2006 - Sift Panel,2006-03-31,Mrs Gill Stephens
4275,PriorPanel,Engineering Systems,2006-04-04,Dr Prabhat Sakya
4249,PriorPanel,Engineering Science (Flow) Panel,2006-04-05,Dr Robin Hayden
4292,PriorPanel,Engineering Fellowships Interview Panel 2006,2006-04-11,Mrs Sheila Baird
4289,PriorPanel,Chemistry Fellowships Interview Panel,2006-04-11,Mrs Jennie Harman
4311,PriorPanel,Materials Fellowships 2006 - Interview Panel,2006-04-20,Mrs Gill Stephens
4297,PriorPanel,Mathematics Fellowships Interview Panel,2006-04-24,Mrs Valerie Hibberd
4309,PriorPanel,Physics Fellowships Interview Panel,2006-04-25,Ms Jan Tucker
4299,PriorPanel,ICT Fellowships 2006 - Interview Panel,2006-04-25,Mrs Gill Stephens
4274,PriorPanel,Electronics & Functional Materials Panel (Tech),2006-05-04,Mr Douglas Niven
4258,PriorPanel,Chemistry Prioritisation Panel (Science),2006-05-09,Mrs Jackie Bowles
4279,PriorPanel,Structural Materials Prioritisation Panel,2006-05-11,Dr Jane Khawaja
4298,PriorPanel,Joint Photonics Prioritisation Panel,2006-05-18,Dr Tracy Hanlon
4312,PriorPanel,Fellowships Central Allocation Panel,2006-05-24,Dr Joanne Ross
4301,PriorPanel,Physical Organic Chemistry Sift Panel (Science),2006-06-02,Ms Zoe Brown
4277,PriorPanel,Mathematics Prioritisation Panel (Science),2006-06-08,Dr Richard Aisbitt
4305,PriorPanel,People and Interactivity Panel,2006-06-12,Mrs Mary Hassan
4273,PriorPanel,Engineering Science (Flow) Panel,2006-06-20,Dr Prabhat Sakya
