panel_id,panel_type,name,organisation,position
4231,PriorPanel,Professor DJ Bacon,University of Liverpool,Panel Chairperson
4231,PriorPanel,Professor R Abram,"Durham, University of",Panel Member
4231,PriorPanel,Professor MJ Biggs,Nottingham Trent University,Panel Member
4231,PriorPanel,Dr E Colbourn,Intelligensys,Panel Member
4231,PriorPanel,Professor L Edwards,Australian Nuclear Science and Tech,Panel Member
4231,PriorPanel,Dr GJ Gibbons,University of Warwick,Panel Member
4231,PriorPanel,Professor E Harkin-Jones,University of Ulster,Panel Member
4231,PriorPanel,Professor A Mainwood,Kings College London,Panel Member
4231,PriorPanel,Professor IK Partridge,University of Bristol,Panel Member
4231,PriorPanel,Professor CC Wilson,University of Bath,Panel Member
4231,PriorPanel,Dr M Winstone,Defence Science & Tech Lab DSTL,Panel Member
4231,PriorPanel,Mr Andy Rendell,Engineering and Physical Sciences Research Council,Panel Contact
4196,PriorPanel,Professor C Lambert,Lancaster University,Panel Chairperson
4196,PriorPanel,Ms Jan Tucker,Engineering and Physical Sciences Research Council,Panel Contact
4241,PriorPanel,Professor P Sutcliffe,"Durham, University of",Panel Chairperson
4241,PriorPanel,Professor C Budd,University of Bath,Panel Member
4241,PriorPanel,Professor D Calderbank,University of Bath,Panel Member
4241,PriorPanel,Professor KA Cliffe,University of Nottingham,Panel Member
4241,PriorPanel,Professor FA Davidson,University of Dundee,Panel Member
4241,PriorPanel,Professor I Gordon,University of Edinburgh,Panel Member
4241,PriorPanel,Professor G Nason,Imperial College London,Panel Member
4241,PriorPanel,Dr C Wang,University of Aberdeen,Panel Member
4241,PriorPanel,Professor E Winstanley,University of Sheffield,Panel Member
4241,PriorPanel,Dr Caroline Batchelor,Engineering and Physical Sciences Research Council,Panel Contact
4247,PriorPanel,Professor UH Martin,University of Edinburgh,Panel Chairperson
4247,PriorPanel,Dr J Bradfield,University of Edinburgh,Panel Member
4247,PriorPanel,Professor V Sassone,University of Southampton,Panel Member
4247,PriorPanel,Professor S Thompson,University of Kent,Panel Member
4247,PriorPanel,Mrs Gill Stephens,Engineering and Physical Sciences Research Council,Panel Contact
4255,PriorPanel,Professor S Benford,University of Nottingham,Panel Chairperson
4255,PriorPanel,Professor G Finlayson,University of East Anglia,Panel Member
4255,PriorPanel,Mr J Hinton,Applied Perception Ltd,Panel Member
4255,PriorPanel,Dr P Hobson,Snell & Wilcox Ltd,Panel Member
4255,PriorPanel,Professor A Monk,University of York,Panel Member
4255,PriorPanel,Professor M Petre,Open University,Panel Member
4255,PriorPanel,Professor M Petrou,Imperial College London,Panel Member
4255,PriorPanel,Professor SJ Young,University of Cambridge,Panel Member
4255,PriorPanel,Dr Jane Khawaja,Engineering and Physical Sciences Research Council,Panel Contact
4202,PriorPanel,Professor D Hand,Imperial College London,Panel Chairperson
4202,PriorPanel,Professor J Brindley,University of Leeds,Panel Member
4202,PriorPanel,Professor RG Halburd,UCL,Panel Member
4202,PriorPanel,Dr J Kobine,University of Dundee,Panel Member
4202,PriorPanel,Professor A Lazarev,Lancaster University,Panel Member
4202,PriorPanel,Professor M Nazarov,University of York,Panel Member
4202,PriorPanel,Professor Y Safarov,Kings College London,Panel Member
4202,PriorPanel,Professor B Straughan,"Durham, University of",Panel Member
4202,PriorPanel,Dr Steve Milsom,Engineering and Physical Sciences Research Council,Panel Contact
4224,PriorPanel,Dr M Ward,Birmingham City University,Panel Chairperson
4224,PriorPanel,Dr E Berry,Elizabeth Berry Ltd,Panel Member
4224,PriorPanel,Professor MK Chryssanthopoulos,University of Surrey,Panel Member
4224,PriorPanel,Professor MI Friswell,Swansea University,Panel Member
4224,PriorPanel,Professor G Jewell,University of Sheffield,Panel Member
4224,PriorPanel,Professor K Shakesheff,Open University,Panel Member
4224,PriorPanel,Dr JH Smart,University of Oxford,Panel Member
4224,PriorPanel,Professor T Stephenson,Cranfield University,Panel Member
4224,PriorPanel,Professor P Vadgama,Queen Mary University of London,Panel Member
4224,PriorPanel,Mrs Sheila Baird,Engineering and Physical Sciences Research Council,Panel Contact
4245,PriorPanel,Professor R Catlow,Cardiff University,Panel Chairperson
4245,PriorPanel,Professor P Battle,University of Oxford,Panel Member
4245,PriorPanel,Professor K J Cavell,Cardiff University,Panel Member
4245,PriorPanel,Professor B Chowdhry,University of Greenwich,Panel Member
4245,PriorPanel,Professor ML Costen,Heriot-Watt University,Panel Member
4245,PriorPanel,Dr L Cox,University of Birmingham,Panel Member
4245,PriorPanel,Professor DM Haddleton,University of Warwick,Panel Member
4245,PriorPanel,Professor DC Harrowven,University of Southampton,Panel Member
4245,PriorPanel,Professor CJ Hayes,University of Nottingham,Panel Member
4245,PriorPanel,Dr A Horn,"University of Manchester, The",Panel Member
4245,PriorPanel,Professor J Mareque-Rivas,Swansea University,Panel Member
4245,PriorPanel,Professor M Whittlesey,University of Bath,Panel Member
4245,PriorPanel,Dr Richard Aisbitt,Engineering and Physical Sciences Research Council,Panel Contact
4259,PriorPanel,Professor T Brown,University of Oxford,Panel Chairperson
4259,PriorPanel,Professor W Brown,University of Sussex,Panel Member
4259,PriorPanel,Professor C Greaves,University of Birmingham,Panel Member
4259,PriorPanel,Professor A Houlton,Newcastle University,Panel Member
4259,PriorPanel,Professor JAK Howard,"Durham, University of",Panel Member
4259,PriorPanel,Professor DR Klug,Imperial College London,Panel Member
4259,PriorPanel,Professor PJ Knowles,Cardiff University,Panel Member
4259,PriorPanel,Professor G Pattenden,University of Nottingham,Panel Member
4259,PriorPanel,Professor P Scott,University of Warwick,Panel Member
4259,PriorPanel,Mrs Jennie Harman,Engineering and Physical Sciences Research Council,Panel Contact
4268,PriorPanel,Professor J Evans-Freeman,University of Canterbury NZ,Panel Chairperson
4268,PriorPanel,Professor P Bowen,University of Birmingham,Panel Member
4268,PriorPanel,Professor J Cooper,University of Glasgow,Panel Member
4268,PriorPanel,Professor JD Denton,University of Cambridge,Panel Member
4268,PriorPanel,Professor RA Falconer,Cardiff University,Panel Member
4268,PriorPanel,Dr P Hargrave,,Panel Member
4268,PriorPanel,Professor MA Jackson,Open University,Panel Member
4268,PriorPanel,Professor E Mamdani,Imperial College London,Panel Member
4268,PriorPanel,Professor A Noble,University of Oxford,Panel Member
4268,PriorPanel,Professor M Petrou,Imperial College London,Panel Member
4268,PriorPanel,Professor J Yates,UCL,Panel Member
4268,PriorPanel,Dr Pamela Salyer,Engineering and Physical Sciences Research Council,Panel Contact
4233,PriorPanel,Professor SRP Silva,University of Surrey,Panel Chairperson
4233,PriorPanel,Dr D Allsopp,University of Bath,Panel Member
4233,PriorPanel,Dr JM Bagshaw,Private Address,Panel Member
4233,PriorPanel,Professor M Calder,University of Glasgow,Panel Member
4233,PriorPanel,Professor N Canagarajah,University of Leicester,Panel Member
4233,PriorPanel,Professor D Elliman,University of Nottingham,Panel Member
4233,PriorPanel,Professor W Emmerich,UCL,Panel Member
4233,PriorPanel,Professor I Horrocks,University of Oxford,Panel Member
4233,PriorPanel,Professor R Luckin,UCL,Panel Member
4233,PriorPanel,Professor P O'Hearn,UCL,Panel Member
4233,PriorPanel,Professor D Parish,Loughborough University,Panel Member
4233,PriorPanel,Professor RM Thomas,University of Leicester,Panel Member
4233,PriorPanel,Mrs Gill Stephens,Engineering and Physical Sciences Research Council,Panel Contact
4248,PriorPanel,Professor K Dholakia,University of St Andrews,Panel Chairperson
4248,PriorPanel,Professor H Byrne,University of Oxford,Panel Member
4248,PriorPanel,Professor HJ Cooper,University of Birmingham,Panel Member
4248,PriorPanel,Dr G Hayes,University of Edinburgh,Panel Member
4248,PriorPanel,Professor J Hobbs,University of Sheffield,Panel Member
4248,PriorPanel,Professor A Hurlbert,Newcastle University,Panel Member
4248,PriorPanel,Dr AJ Schofield,Aston University,Panel Member
4248,PriorPanel,Professor M Searcey,University of East Anglia,Panel Member
4248,PriorPanel,Dr T Walsh,University of Warwick,Panel Member
4248,PriorPanel,Professor PH Walton,University of York,Panel Member
4248,PriorPanel,Professor DN Woolfson,University of Bristol,Panel Member
4248,PriorPanel,Mr Paul Tomsen,Engineering and Physical Sciences Research Council,Panel Contact
4243,PriorPanel,Professor D Fearn,University of Glasgow,Panel Chairperson
4243,PriorPanel,Professor VN Biktashev,University of Exeter,Panel Member
4243,PriorPanel,Dr FW Clarke,Swansea University,Panel Member
4243,PriorPanel,Professor PJ Diggle,Lancaster University,Panel Member
4243,PriorPanel,Professor D Greenhalgh,University of Strathclyde,Panel Member
4243,PriorPanel,Professor BS Kay,University of York,Panel Member
4243,PriorPanel,Professor M Lackenby,University of Oxford,Panel Member
4243,PriorPanel,Professor EL Mansfield,University of Kent,Panel Member
4243,PriorPanel,Professor PP Martin,University of Leeds,Panel Member
4243,PriorPanel,Professor B Pelloni,Heriot-Watt University,Panel Member
4243,PriorPanel,Professor J Truss,University of Leeds,Panel Member
4243,PriorPanel,Professor JAG Vickers,University of Southampton,Panel Member
4243,PriorPanel,Mrs Valerie Hibberd,Engineering and Physical Sciences Research Council,Panel Contact
4260,PriorPanel,Professor RA Brook,"City, University of London",Panel Chairperson
4260,PriorPanel,Professor AR Champneys,University of Bristol,Panel Member
4260,PriorPanel,Professor EB Martin,University of Leeds,Panel Member
4260,PriorPanel,Professor IA Sutherland,Brunel University London,Panel Member
4260,PriorPanel,Prof. S Taylor,Queen's University of Belfast,Panel Member
4260,PriorPanel,Professor N Tyler,UCL,Panel Member
4260,PriorPanel,Dr Mark Hylton,Engineering and Physical Sciences Research Council,Panel Contact
4242,PriorPanel,Professor BN Murdin,University of Surrey,Panel Chairperson
4242,PriorPanel,Professor L Cardy,University of Oxford,Panel Member
4242,PriorPanel,Professor A Golov,"University of Manchester, The",Panel Member
4242,PriorPanel,Professor G Laricchia,UCL,Panel Member
4242,PriorPanel,Professor AP MacKenzie,University of St Andrews,Panel Member
4242,PriorPanel,Dr WJ Munro,NTT Basic Research Laboratories,Panel Member
4242,PriorPanel,Professor PD Olmsted,Georgetown University,Panel Member
4242,PriorPanel,Professor B Varcoe,University of Leeds,Panel Member
4242,PriorPanel,Professor DP Woodruff,University of Warwick,Panel Member
4242,PriorPanel,Professor P Woods,University of Edinburgh,Panel Member
4242,PriorPanel,Ms Jan Tucker,Engineering and Physical Sciences Research Council,Panel Contact
4246,PriorPanel,Professor M Lucas,University of Glasgow,Panel Chairperson
4246,PriorPanel,Professor C Melbourne,University of Salford,Panel Member
4246,PriorPanel,Professor J Moss,Cranfield University,Panel Member
4246,PriorPanel,Professor D Muir Wood,University of Dundee,Panel Member
4246,PriorPanel,Professor P Reed,University of Southampton,Panel Member
4246,PriorPanel,Professor DJ Webb,Aston University,Panel Member
4246,PriorPanel,Dr M WHEEL,University of Strathclyde,Panel Member
4246,PriorPanel,Mrs Chris Elson,Engineering and Physical Sciences Research Council,Panel Contact
4232,PriorPanel,Professor J Binner,University of Birmingham,Panel Chairperson
4232,PriorPanel,Professor AW Brinkman,"Durham, University of",Panel Member
4232,PriorPanel,Professor A Coleman,University of Texas at Arlington,Panel Member
4232,PriorPanel,Professor WJ Evans,Swansea University,Panel Member
4232,PriorPanel,Professor R Freer,"University of Manchester, The",Panel Member
4232,PriorPanel,Professor C Grovenor,University of Oxford,Panel Member
4232,PriorPanel,Professor RW Hardeman,Department for the Economy (NI),Panel Member
4232,PriorPanel,Professor W Hayes,University of Reading,Panel Member
4232,PriorPanel,Dr I Sage,QinetiQ,Panel Member
4232,PriorPanel,Professor R Thomson,Loughborough University,Panel Member
4232,PriorPanel,Mrs Gill Stephens,Engineering and Physical Sciences Research Council,Panel Contact
4275,PriorPanel,Professor D Loveday,Loughborough University,Panel Chairperson
4275,PriorPanel,Professor BG Clarke,University of Leeds,Panel Member
4275,PriorPanel,Professor J Dai,Kings College London,Panel Member
4275,PriorPanel,Professor S Daley,University of Southampton,Panel Member
4275,PriorPanel,Professor JF Eastham,University of Bath,Panel Member
4275,PriorPanel,Dr CJ Hawkins,Emerson Process Management,Panel Member
4275,PriorPanel,Professor N Hounsell,University of Southampton,Panel Member
4275,PriorPanel,Professor B Lin,Cardiff University,Panel Member
4275,PriorPanel,Dr Prabhat Sakya,Engineering and Physical Sciences Research Council,Panel Contact
4249,PriorPanel,Professor C Rielly,Loughborough University,Panel Chairperson
4249,PriorPanel,Professor Y Ding,University of Birmingham,Panel Member
4249,PriorPanel,Dr B Harrison,Private Address,Panel Member
4249,PriorPanel,Professor YW Lam,University of Salford,Panel Member
4249,PriorPanel,Professor P Lettieri,UCL,Panel Member
4249,PriorPanel,Professor T O'Donoghue,University of Aberdeen,Panel Member
4249,PriorPanel,Professor S Sherwin,Imperial College London,Panel Member
4249,PriorPanel,Professor A Todd,Heriot-Watt University,Panel Member
4249,PriorPanel,Dr Robin Hayden,Engineering and Physical Sciences Research Council,Panel Contact
4292,PriorPanel,Dr M Ward,Birmingham City University,Panel Chairperson
4292,PriorPanel,Professor MK Chryssanthopoulos,University of Surrey,Panel Member
4292,PriorPanel,Dr JH Smart,University of Oxford,Panel Member
4292,PriorPanel,Professor P Vadgama,Queen Mary University of London,Panel Member
4292,PriorPanel,Mrs Sheila Baird,Engineering and Physical Sciences Research Council,Panel Contact
4289,PriorPanel,Professor T Brown,University of Oxford,Panel Chairperson
4289,PriorPanel,Professor W Brown,University of Sussex,Panel Member
4289,PriorPanel,Professor PJ Knowles,Cardiff University,Panel Member
4289,PriorPanel,Professor P Scott,University of Warwick,Panel Member
4289,PriorPanel,Mrs Jennie Harman,Engineering and Physical Sciences Research Council,Panel Contact
4311,PriorPanel,Professor J Binner,University of Birmingham,Panel Chairperson
4311,PriorPanel,Professor A Coleman,University of Texas at Arlington,Panel Member
4311,PriorPanel,Professor R Freer,"University of Manchester, The",Panel Member
4311,PriorPanel,Professor RW Hardeman,Department for the Economy (NI),Panel Member
4311,PriorPanel,Professor W Hayes,University of Reading,Panel Member
4311,PriorPanel,Mrs Gill Stephens,Engineering and Physical Sciences Research Council,Panel Contact
4297,PriorPanel,Professor D Fearn,University of Glasgow,Panel Chairperson
4297,PriorPanel,Dr FW Clarke,Swansea University,Panel Member
4297,PriorPanel,Professor EL Mansfield,University of Kent,Panel Member
4297,PriorPanel,Professor PP Martin,University of Leeds,Panel Member
4297,PriorPanel,Professor JAG Vickers,University of Southampton,Panel Member
4297,PriorPanel,Mrs Valerie Hibberd,Engineering and Physical Sciences Research Council,Panel Contact
4309,PriorPanel,Professor BN Murdin,University of Surrey,Panel Chairperson
4309,PriorPanel,Professor G Laricchia,UCL,Panel Member
4309,PriorPanel,Dr WJ Munro,NTT Basic Research Laboratories,Panel Member
4309,PriorPanel,Professor DP Woodruff,University of Warwick,Panel Member
4309,PriorPanel,Ms Jan Tucker,Engineering and Physical Sciences Research Council,Panel Contact
4299,PriorPanel,Professor SRP Silva,University of Surrey,Panel Chairperson
4299,PriorPanel,Dr JM Bagshaw,Private Address,Panel Member
4299,PriorPanel,Professor W Emmerich,UCL,Panel Member
4299,PriorPanel,Professor R Luckin,UCL,Panel Member
4299,PriorPanel,Mrs Gill Stephens,Engineering and Physical Sciences Research Council,Panel Contact
4274,PriorPanel,Emeritus Professor MJ Kelly,University of Cambridge,Panel Chairperson
4274,PriorPanel,Professor T Arslan,University of Edinburgh,Panel Member
4274,PriorPanel,Professor D Atkinson,"Durham, University of",Panel Member
4274,PriorPanel,Professor CT Foxon,University of Nottingham,Panel Member
4274,PriorPanel,Professor M Gee,National Physical Laboratory,Panel Member
4274,PriorPanel,Professor CH Marrows,University of Leeds,Panel Member
4274,PriorPanel,Emeritus Professor J Owen,University of Southampton,Panel Member
4274,PriorPanel,Dr I Thayne,University of Glasgow,Panel Member
4274,PriorPanel,Professor PA Warburton,UCL,Panel Member
4274,PriorPanel,Professor RF Woods,Queen's University of Belfast,Panel Member
4274,PriorPanel,Mr Douglas Niven,Engineering and Physical Sciences Research Council,Panel Contact
4258,PriorPanel,Professor PR Raithby,University of Bath,Panel Chairperson
4258,PriorPanel,Professor JP Attfield,University of Edinburgh,Panel Member
4258,PriorPanel,Professor A de Silva,Queen's University of Belfast,Panel Member
4258,PriorPanel,Dr J Knight,Newcastle University,Panel Member
4258,PriorPanel,Professor J McGrady,University of Oxford,Panel Member
4258,PriorPanel,Professor M Shipman,University of Warwick,Panel Member
4258,PriorPanel,Professor JA Thomas,University of Sheffield,Panel Member
4258,PriorPanel,Dr G Tranter,University of Oxford,Panel Member
4258,PriorPanel,Professor JH Tucker,University of Birmingham,Panel Member
4258,PriorPanel,Professor C Willis,University of Bristol,Panel Member
