x1,x2,x3,panel_id,panel_type
Professor DJ Bacon,University of Liverpool,Panel Chairperson,4231,PriorPanel
Professor R Abram,"Durham, University of",,4231,PriorPanel
Professor MJ Biggs,Nottingham Trent University,,4231,PriorPanel
Dr E Colbourn,Intelligensys,,4231,PriorPanel
Professor L Edwards,Australian Nuclear Science and Tech,,4231,PriorPanel
Dr GJ Gibbons,University of Warwick,,4231,PriorPanel
Professor E Harkin-Jones,University of Ulster,,4231,PriorPanel
Professor A Mainwood,Kings College London,,4231,PriorPanel
Professor IK Partridge,University of Bristol,,4231,PriorPanel
Professor CC Wilson,University of Bath,,4231,PriorPanel
Dr M Winstone,Defence Science & Tech Lab DSTL,,4231,PriorPanel
Mr Andy Rendell,Engineering and Physical Sciences Research Council,Panel Contact,4231,PriorPanel
Professor C Lambert,Lancaster University,Panel Chairperson,4196,PriorPanel
Ms Jan Tucker,Engineering and Physical Sciences Research Council,Panel Contact,4196,PriorPanel
Professor P Sutcliffe,"Durham, University of",Panel Chairperson,4241,PriorPanel
Professor C Budd,University of Bath,,4241,PriorPanel
Professor D Calderbank,University of Bath,,4241,PriorPanel
Professor KA Cliffe,University of Nottingham,,4241,PriorPanel
Professor FA Davidson,University of Dundee,,4241,PriorPanel
Professor I Gordon,University of Edinburgh,,4241,PriorPanel
Professor G Nason,Imperial College London,,4241,PriorPanel
Dr C Wang,University of Aberdeen,,4241,PriorPanel
Professor E Winstanley,University of Sheffield,,4241,PriorPanel
Dr Caroline Batchelor,Engineering and Physical Sciences Research Council,Panel Contact,4241,PriorPanel
Professor UH Martin,University of Edinburgh,Panel Chairperson,4247,PriorPanel
Dr J Bradfield,University of Edinburgh,,4247,PriorPanel
Professor V Sassone,University of Southampton,,4247,PriorPanel
Professor S Thompson,University of Kent,,4247,PriorPanel
Mrs Gill Stephens,Engineering and Physical Sciences Research Council,Panel Contact,4247,PriorPanel
Professor S Benford,University of Nottingham,Panel Chairperson,4255,PriorPanel
Professor G Finlayson,University of East Anglia,,4255,PriorPanel
Mr J Hinton,Applied Perception Ltd,,4255,PriorPanel
Dr P Hobson,Snell & Wilcox Ltd,,4255,PriorPanel
Professor A Monk,University of York,,4255,PriorPanel
Professor M Petre,Open University,,4255,PriorPanel
Professor M Petrou,Imperial College London,,4255,PriorPanel
Professor SJ Young,University of Cambridge,,4255,PriorPanel
Dr Jane Khawaja,Engineering and Physical Sciences Research Council,Panel Contact,4255,PriorPanel
Professor D Hand,Imperial College London,Panel Chairperson,4202,PriorPanel
Professor J Brindley,University of Leeds,,4202,PriorPanel
Professor RG Halburd,UCL,,4202,PriorPanel
Dr J Kobine,University of Dundee,,4202,PriorPanel
Professor A Lazarev,Lancaster University,,4202,PriorPanel
Professor M Nazarov,University of York,,4202,PriorPanel
Professor Y Safarov,Kings College London,,4202,PriorPanel
Professor B Straughan,"Durham, University of",,4202,PriorPanel
Dr Steve Milsom,Engineering and Physical Sciences Research Council,Panel Contact,4202,PriorPanel
Dr M Ward,Birmingham City University,Panel Chairperson,4224,PriorPanel
Dr E Berry,Elizabeth Berry Ltd,,4224,PriorPanel
Professor MK Chryssanthopoulos,University of Surrey,,4224,PriorPanel
Professor MI Friswell,Swansea University,,4224,PriorPanel
Professor G Jewell,University of Sheffield,,4224,PriorPanel
Professor K Shakesheff,Open University,,4224,PriorPanel
Dr JH Smart,University of Oxford,,4224,PriorPanel
Professor T Stephenson,Cranfield University,,4224,PriorPanel
Professor P Vadgama,Queen Mary University of London,,4224,PriorPanel
Mrs Sheila Baird,Engineering and Physical Sciences Research Council,Panel Contact,4224,PriorPanel
Professor R Catlow,Cardiff University,Panel Chairperson,4245,PriorPanel
Professor P Battle,University of Oxford,,4245,PriorPanel
Professor K J Cavell,Cardiff University,,4245,PriorPanel
Professor B Chowdhry,University of Greenwich,,4245,PriorPanel
Professor ML Costen,Heriot-Watt University,,4245,PriorPanel
Dr L Cox,University of Birmingham,,4245,PriorPanel
Professor DM Haddleton,University of Warwick,,4245,PriorPanel
Professor DC Harrowven,University of Southampton,,4245,PriorPanel
Professor CJ Hayes,University of Nottingham,,4245,PriorPanel
Dr A Horn,"University of Manchester, The",,4245,PriorPanel
Professor J Mareque-Rivas,Swansea University,,4245,PriorPanel
Professor M Whittlesey,University of Bath,,4245,PriorPanel
Dr Richard Aisbitt,Engineering and Physical Sciences Research Council,Panel Contact,4245,PriorPanel
Professor T Brown,University of Oxford,Panel Chairperson,4259,PriorPanel
Professor W Brown,University of Sussex,,4259,PriorPanel
Professor C Greaves,University of Birmingham,,4259,PriorPanel
Professor A Houlton,Newcastle University,,4259,PriorPanel
Professor JAK Howard,"Durham, University of",,4259,PriorPanel
Professor DR Klug,Imperial College London,,4259,PriorPanel
Professor PJ Knowles,Cardiff University,,4259,PriorPanel
Professor G Pattenden,University of Nottingham,,4259,PriorPanel
Professor P Scott,University of Warwick,,4259,PriorPanel
Mrs Jennie Harman,Engineering and Physical Sciences Research Council,Panel Contact,4259,PriorPanel
Professor J Evans-Freeman,University of Canterbury NZ,Panel Chairperson,4268,PriorPanel
Professor P Bowen,University of Birmingham,,4268,PriorPanel
Professor J Cooper,University of Glasgow,,4268,PriorPanel
Professor JD Denton,University of Cambridge,,4268,PriorPanel
Professor RA Falconer,Cardiff University,,4268,PriorPanel
Dr P Hargrave,,,4268,PriorPanel
Professor MA Jackson,Open University,,4268,PriorPanel
Professor E Mamdani,Imperial College London,,4268,PriorPanel
Professor A Noble,University of Oxford,,4268,PriorPanel
Professor M Petrou,Imperial College London,,4268,PriorPanel
Professor J Yates,UCL,,4268,PriorPanel
Dr Pamela Salyer,Engineering and Physical Sciences Research Council,Panel Contact,4268,PriorPanel
Professor SRP Silva,University of Surrey,Panel Chairperson,4233,PriorPanel
Dr D Allsopp,University of Bath,,4233,PriorPanel
Dr JM Bagshaw,Private Address,,4233,PriorPanel
Professor M Calder,University of Glasgow,,4233,PriorPanel
Professor N Canagarajah,University of Leicester,,4233,PriorPanel
Professor D Elliman,University of Nottingham,,4233,PriorPanel
Professor W Emmerich,UCL,,4233,PriorPanel
Professor I Horrocks,University of Oxford,,4233,PriorPanel
Professor R Luckin,UCL,,4233,PriorPanel
Professor P O'Hearn,UCL,,4233,PriorPanel
