panel_id,panel_type,funding_priority_list,funded,unfunded,referred_to_a_later_panel,decision_still_awaited,funding_rate_percent_of_grant_value,summary_row,table_type,full_proposals_invited,full_proposals_declined,invited_for_interview,not_invited_for_interview,final_decision_yet_to_be_made,not_funded
4374,Panel,TARGETED MODE,0,0,7265271,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4374,Panel,KT SUE SIFT,0,0,7265271,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4354,Panel,RESPONSIVE MODE,0,0,195290,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4354,Panel,RESPONSIVE MODE,0,0,195290,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4376,Panel,TARGETED MODE,0,0,1339282,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4376,Panel,KT SUE,0,0,1339282,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4362,Panel,RESPONSIVE MODE,0,0,193155,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4362,Panel,FIRST GRANTS,0,0,193155,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4218,Panel,RESPONSIVE MODE,0,0,105774,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4218,Panel,RESPONSIVE MODE,0,0,105774,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4363,Panel,RESPONSIVE MODE,0,0,2030442,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4363,Panel,RESPONSIVE MODE,0,0,2030442,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4371,Panel,RESPONSIVE MODE,0,0,318798,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4371,Panel,RESPONSIVE MODE,0,0,318798,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4359,Panel,RESPONSIVE MODE,0,0,1455292,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4359,Panel,RESPONSIVE MODE,0,0,1455292,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4418,Panel,TRAINING MODE,0,0,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4418,Panel,ANALYTICAL SCIENCE SIFT LIST,0,0,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
