"","project.ref","id","text","percentage","encodedText"
"1","EP/G026440/1","17F21DBC-4946-4262-AD07-9914F6EA12F7","Bioengineering",50,"Bioengineering"
"2","EP/G026440/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",50,"Materials+sciences"
"3","EP/I006591/1","5E9AA4EC-49E3-4D6A-B545-79DA07CE39E0","Management & Business Studies",100,"Management+%26+Business+Studies"
"4","EP/F032145/1","5E9AA4EC-49E3-4D6A-B545-79DA07CE39E0","Management & Business Studies",100,"Management+%26+Business+Studies"
"5","EP/K012258/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",100,"Catalysis+%26+surfaces"
"6","EP/H023909/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",40,"Catalysis+%26+surfaces"
"7","EP/H023909/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",60,"Materials+sciences"
"8","EP/I004246/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"9","EP/H049746/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",100,"Mechanical+Engineering"
"10","EP/K007777/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",100,"Energy"
"11","EP/H045775/1","1A1A6805-9DC4-4BCE-BC70-9F2AA4FD093B","Ecol, biodivers. & systematics",25,"Ecol%2C+biodivers.+%26+systematics"
"12","EP/H045775/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",50,"Mathematical+sciences"
"13","EP/H045775/1","FB535BD0-E265-4C0A-8532-32DCB83A3951","Tools, technologies & methods",25,"Tools%2C+technologies+%26+methods"
"14","EP/S018204/2","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",20,"Energy"
"15","EP/S018204/2","FA25733D-A456-4A1B-9D5C-7119577368D9","Manufacturing",40,"Manufacturing"
"16","EP/S018204/2","D513F43E-F19D-4AB3-8E03-A47B085709AB","Materials Processing",20,"Materials+Processing"
"17","EP/S018204/2","C9A78518-54CF-4145-A680-F2BDCFB3913B","Pollution, waste & resources",20,"Pollution%2C+waste+%26+resources"
"18","EP/H006885/1","A442BF36-F335-483E-9282-F3BB48AC2C47","Cell biology",20,"Cell+biology"
"19","EP/H006885/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",80,"Chemical+synthesis"
"20","EP/G020841/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"21","EP/R006393/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",80,"Materials+sciences"
"22","EP/R006393/1","6723A70B-A523-40AB-9740-B6AD2A0677B7","Medical & health interface",20,"Medical+%26+health+interface"
"23","EP/V046853/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"24","EP/E016243/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"25","EP/D077095/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
